trial, epigraphRestored, ave_fitness, ave_generations, num_runs, population_size, generations, crossover_rate, mutation_rate, elite_size, improveThresh, stagThresh,best_epigraph,ave_fitness,ave_generations,population_size,generations,crossover_rate,mutation_rate,elite_size,num_runs,improveThresh,stagThresh
119, ουδις αλεξανδρε ουδις ουδις,0.958727788372056,25.5,10.0,1000.0,1000.0,0.3,0.01,2.0,0.01,20.0,,,,,,,,,,,
120, και αλεξανδρε ουδις των,0.8933016824694227,23.2,10.0,500.0,250.0,0.9,0.1,2.0,0.01,20.0,,,,,,,,,,,
121, και αλεξανδρε ουδις του,0.8770859760597416,54.0,10.0,500.0,1000.0,0.9,0.1,1.0,0.001,50.0,,,,,,,,,,,
122, ουδις αλεξανδρε ουδις ουδις,0.8663502730795449,104.6,25.0,500.0,500.0,0.6,0.01,2.0,0.001,100.0,,,,,,,,,,,
123, ουδις αλεξανδρε ουδις ουδις,0.7807893829932713,51.333333333333336,15.0,250.0,250.0,0.6,0.01,1.0,0.1,50.0,,,,,,,,,,,
124, ος αλεξανδρε ουδις δια,0.8046680342366355,21.28,25.0,250.0,500.0,0.1,0.01,10.0,0.1,20.0,,,,,,,,,,,
125, και αλεξανδρε ουδις ετους,0.9661762750040946,21.1,10.0,1000.0,500.0,0.6,0.1,10.0,0.1,20.0,,,,,,,,,,,
126, τους αλεξανδρε ουδις το,0.7820988528687807,101.4,10.0,200.0,1000.0,0.9,0.01,10.0,0.1,100.0,,,,,,,,,,,
127, εκ αλεξανδρε ουδις μηνος,0.7457092988562618,101.1,10.0,100.0,250.0,0.6,0.05,2.0,0.1,100.0,,,,,,,,,,,
113,,,,,,,,,,,,ουδις αλεξανδρε ουδις ουδις,0.9042481342432164,23.84,500.0,250.0,0.9,0.05,10.0,25.0,0.01,20.0
114,,,,,,,,,,,,εις αλεξανδρε ουδις τω,0.7391357541671505,103.4,200.0,1000.0,0.3,0.01,5.0,10.0,0.001,100.0
115,,,,,,,,,,,,ετων αλεξανδρε ουδις μηνι,0.6695262700949737,54.53333333333333,50.0,1000.0,0.3,0.01,1.0,15.0,0.01,50.0
116,,,,,,,,,,,,ουδις αλεξανδρε ουδις ουδις,0.7954539103261147,101.0,250.0,500.0,0.3,0.01,0.0,10.0,0.1,100.0
117,,,,,,,,,,,,ετους αλεξανδρε ουδις ου,0.8135569782494277,51.53333333333333,250.0,250.0,0.1,0.0,10.0,15.0,0.1,50.0
118,,,,,,,,,,,,και αλεξανδρε ουδις των,0.8527210483112895,24.84,250.0,250.0,0.1,0.1,5.0,25.0,0.001,20.0
119,,,,,,,,,,,,ουδις αλεξανδρε ουδις ουδις,0.958727788372056,25.5,1000.0,1000.0,0.3,0.0,2.0,10.0,0.01,20.0
